revisiondate,reportingagencytypecode,reporting_agency_type,reasoncode,reasondescription,crossingid,crossingidsuffix,reportingagencycode,reportingagencyname,statecode,statename,countycode,countyname,innearcode,innear,citycode,cityname,citydescription,street,highwayname,separatetrack,sametrack,railroaddivision,railroadsubdivision,branchname,railroadmilepostnumber,parentrailroadcode,crossingownercode,crossingtypecode,crossingtype,crossingpurposecode,crossingpurpose,crossingpositioncode,crossingposition,publicaccess,typeoftrainserviceids,typeoftrainserviceid1,typeoftrainservice1,typeoftrainserviceid2,typeoftrainservice2,typeoftrainserviceid3,typeoftrainservice3,lessthanonepassengertrai,developmenttypecode,development_type,adjacentcrossing,hsrcorridorid,latitude,longitude,latlongsourcecode,latlongsource,emergencytelephonenumber,railroadcontacttelephonenumber,statecontacttelephonenumber,totaldaylightthrutrains,totalnighttimethrutrains,totalswitchingtrains,totaltransittrains,movementsperdaycode,movementsperday,trainsperweek,trainsperyear,maximumtimetablespeed,minimumspeedrangeovercrossing,maximumspeedrangeovercrossing,numberofmaintracks,numberofsidingtracks,numberofyardtracks,numberoftransittracks,numberofindistrytracks,traindetectionids,traindetectionid1,traindetection1,tracksignaled,eventrecorder,remotehealthmonitoring,signsorsignals,advancewarnings,advancewarning1,enssigndisplayed,mastmountedflashingblacklight,mastmountedflashingsidelight,reporttype,crossingclosed,reportstatus,class,railroad_company_grouping,smt_grouping,parent_railroad_company_code,parent_railroad_company_name,holding_company,multiple_forms_filed,roadatcrossingtypecode,roadatcrossingtype,sametrackrailroad1,nearesttimetablestation,timetablestation,numberpassengertrainperday,whistlebancode,whistleban,numbercrossbuckassemblies,numberstopsigns,advancewarningtext1,countadvw10_1,lowgroundclearancesigns,pavementmarkingids,pavementmarkingid1,pavementmarking,pavementmarkingid2,pavementmarking2,channeldevicemediancode,exemptsigns,othermutcodesigns,numberothermutcodesigns1,othermutcodesignstype1,other_mutcd_signs_type_text_1,countroadwaygatearms,countpedestriangatearms,gateconfigurationcode,gateconfiguration,countcantileveredstructu,countcantileveredstructu_1,countmastmountedflashinglight,mastmountedflashinglight,mastmountedflashinglighttype,countflashinglightpair,waysidehorn,highwaytrafficsignal,numberofbells,nontrainactivewarningcode,countotherflashinglights,otherflashinglightstype,nearbyhighwaytrafficsignals,highwaytrafficsignalinte,highwaytrafficsignalinte_1,highwaytrafficsignalpree,highwaytrafficsignalpreemption,highwaymonitoringdevicescode,trafficlane,highwaypaved,trackrundownstreet,crossingilluminated,crossingsurfaceids,crossingsurfaceid1,crossingsurfacedescription1,highwaynear,intersectingroadwaydistance,smallestcrossinganglecode,smallestcrossingangle,compower,highwaysystemcode,highwaysystem,roadatcrossingcode,roadatcrossing,crossingonstatehighwaysystem,highwayspeedlimit,highwayspeedlimittypecode,highwayspeedlimittype,annualaveragedailytrafficcount,annualaveragedailytrafficyear,estimatedpercenttrucks,schoolbusroute,principal_warning_device,other_track,other_track_description,traindetectionid2,traindetection2,traindetectionid3,traindetection3,numberyieldsigns,numberothermutcodesigns2,othermutcodesignstype2,other_mutcd_signs_type_text_2,installationdateactivewa,highwaytrafficpresignals,trafficlanetypecode,trafficlanetypedescription,channeldevicemedian,storagedistance,emergencyservicesroute,linesegment,railroad_narrative_base,state_narrative_base,crossingsurfaceid2,crossingsurfacedescription2,cantileveredtypestructurecode,cantileveredtypestructure,highwaymonitoringdevices,numberlowgroundclearancesigns,separatetrackrailroad1,railroadmilepostprefix,pavementmarkingid3,pavementmarking3,adjacentcrossingnumber,schoolbusaveragecount,statenarrative,ledenhancedsigns,advancewarning2,advancewarningtext2,countadvw10_2,othermutcodesignstype3,other_mutcd_signs_type_text_3,gateconftype,gate_configuration_type_description,privatecrossingsigns,railroadnarrative,blocknumber,nontrainactivewarning,crossingsurfaceid3,crossingsurfacedescription3,othercrossingsurface
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,968483K,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,0,In,361030360,BABYLON,"BABYLON City, SUFFOLK County, NEW YORK State",bABYLON YARD,YARD,No,No,ALBANY,5,MONTAUK,0036.550,-1,-1,2,Private,1,Highway,1,At Grade,No,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,40.70770,-73.310517,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,100.0,2016.0,5.0,0.0,5.0,0,0,9,0,0,0,0,None,No,No,No,No,0,0,Yes,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,968477G,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,0,In,361035270,RONKONKOMA,"RONKONKOMA City, SUFFOLK County, NEW YORK State",ronkonkoma yard,yard,No,No,albany,#N\A,mainline,0048.700,-1,-1,2,Private,1,Highway,1,At Grade,No,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,40.80805,-73.096967,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,500.0,2016.0,5.0,0.0,5.0,0,0,9,0,0,0,0,None,No,No,No,No,0,0,Yes,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,11,(1) Interstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,968558G,LI,LI,Long Island Rail Road,36,NEW YORK,36059,NASSAU,0,In,360594600,OYSTER BAY,"OYSTER BAY City, NASSAU County, NEW YORK State",oyster bay yard,yard,No,No,albany,#N\A,oysterbay,0033.180,-1,-1,2,Private,1,Highway,1,At Grade,No,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,40.874883,-73.531217,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,500.0,2016.0,5.0,0.0,5.0,0,0,6,0,0,0,0,None,No,No,No,No,0,0,Yes,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,968475T,LI,LI,Long Island Rail Road,36,NEW YORK,36059,NASSAU,1,Near,360814170,NEW YORK -QUEENS,"NEW YORK -QUEENS City, QUEENS County, NEW YORK State",belmont yard,yard,No,No,albany,#N\A,mainline,0014.500,-1,-1,2,Private,1,Highway,1,At Grade,No,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,40.718367,-73.728767,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,1.0,2016.0,5.0,0.0,5.0,0,0,8,0,0,0,0,None,No,No,No,No,0,0,Yes,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,968487M,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,0,In,361030643,BRIDGEHAMPTON,"BRIDGEHAMPTON City, SUFFOLK County, NEW YORK State",Bridgehampton yard,yard,No,No,albany,#N\A,montauk,0093.700,-1,-1,2,Private,1,Highway,1,At Grade,Yes,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,40.942967,-72.304733,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,1.0,2016.0,5.0,0.0,5.0,0,0,2,0,0,0,0,None,No,No,No,No,0,0,Yes,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,968486F,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,0,In,361035925,SPEONK,"SPEONK City, SUFFOLK County, NEW YORK State",speonk yard,yard,No,No,albany,#N\A,montauk,0070.750,-1,-1,2,Private,1,Highway,1,At Grade,No,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,40.821217,-72.703733,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,500.0,2016.0,5.0,0.0,5.0,0,0,9,0,0,0,0,None,No,No,No,No,0,0,Yes,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,968560H,LI,LI,Long Island Rail Road,36,NEW YORK,36059,NASSAU,1,Near,360814170,NEW YORK -QUEENS,"NEW YORK -QUEENS City, QUEENS County, NEW YORK State",far rock yard,yard,No,No,albany,#N\A,far rockaway,0018.280,-1,-1,2,Private,1,Highway,1,At Grade,No,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,40.611883,-73.745067,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,1.0,2016.0,5.0,0.0,5.0,0,0,3,0,0,0,0,None,No,No,No,No,0,0,Yes,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,968485Y,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,0,In,361031040,CENTER MORICHES,"CENTER MORICHES City, SUFFOLK County, NEW YORK State",moriches blvd yard,yard,No,No,albany,#N\A,montauk,0069.070,-1,-1,2,Private,1,Highway,1,At Grade,Yes,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,40.824967,-72.731783,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,1.0,2016.0,5.0,0.0,5.0,0,0,3,0,0,0,0,None,No,No,No,No,0,0,Yes,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,968484S,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,0,In,361034670,PATCHOGUE,"PATCHOGUE City, SUFFOLK County, NEW YORK State",patchogue Team yard,yard,No,No,albany,#N\A,montauk,0052.960,-1,-1,2,Private,1,Highway,1,At Grade,No,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,40.76090,-73.018583,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,500.0,2016.0,5.0,0.0,5.0,0,0,2,0,0,0,0,None,No,No,No,No,0,0,Yes,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18T00:00:00.000,1,Railroad,20,Date Change Only,970571V,LI,LI,Long Island Rail Road,36,NEW YORK,36103,SUFFOLK,0,In,361033835,MONTAUK,"MONTAUK City, SUFFOLK County, NEW YORK State",montauk yard,yard,No,No,albany,#N\A,montauk,0114.700,-1,-1,2,Private,1,Highway,1,At Grade,Yes,"11,13,16",11,Freight,13,Commuter,16,Tourist/Other,Yes,18,RR Yard,No,-1,41.04830,-71.952858,1,Actual,8003111628,7185583581,__________,0,0,0,0,1,Less Than One Movement Per Day,500.0,2016.0,5.0,0.0,5.0,0,0,6,0,0,0,0,None,No,No,No,No,0,0,,No,No,Major,No,Published,Class 3,Passenger (Formerly Commuter),"SMT-1 - Amtrak and Commuter East, some Tourist/Historic",LI,Long Island Rail Road,Not Assigned,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
